CompId,Method,LoopId,BaselineCycles,SlowdownCycles,PercentChangeCycles,BaselineSharePercent
295,"havlak.LoopTesterApp.main(int,",9,7296,7420,1.699561403508772,1.592718019748891e-07
295,"havlak.LoopTesterApp.main(int,",8,6498,6922,6.525084641428132,1.4185144863388558e-07
57,"java.util.HashMap.putVal(int,",0,5708,6286,10.12613875262789,1.246057354266265e-07
295,"havlak.LoopTesterApp.main(int,",1,3516,2300,-34.58475540386804,7.675433878066201e-08
58,java.lang.String.equals(Object),0,3318,4558,37.37191078963231,7.24319954704882e-08
206,havlak.HavlakLoopFinder.findLoops(),3,1966,2114,7.527975584944049,4.29178128676853e-08
295,"havlak.LoopTesterApp.main(int,",4,1844,1642,-10.954446854663773,4.025455082808326e-08
295,"havlak.LoopTesterApp.main(int,",6,1532,1340,-12.532637075718014,3.344358561205182e-08
172,java.lang.invoke.DirectMethodHandle.allocateInstance(Object),0,1272,1114,-12.421383647798741,2.7767781265358955e-08
295,"havlak.LoopTesterApp.main(int,",5,664,678,2.108433734939759,1.4495131100784861e-08
295,"havlak.LoopTesterApp.main(int,",2,540,572,5.9259259259259265,1.1788209027746726e-08
295,"havlak.LoopTesterApp.main(int,",3,526,574,9.125475285171103,1.1482588793694032e-08
206,havlak.HavlakLoopFinder.findLoops(),4,428,340,-20.5607476635514,9.343247155325182e-09
311,"java.lang.StringCoding.implEncodeAsciiArray(char[],",0,390,686,75.8974358974359,8.5137065200393e-09
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",0,382,400,4.712041884816754,8.339066386294905e-09
87,"java.lang.StringCoding.countPositives(byte[],",0,362,420,16.022099447513813,7.902466051933916e-09
312,"java.lang.StringCoding.implEncodeAsciiArray(char[],-Re-Comp",0,274,334,21.897810218978105,5.98142458074556e-09
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",1,156,146,-6.41025641025641,3.4054826080157202e-09
83,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",2,110,114,3.6363636363636362,2.401301838985444e-09
283,"havlak.LoopTesterApp.constructCFG(int,",5,26,26,0.0,5.675804346692868e-10
