comp_id,loop_id,method,comp_name,loop_call_count,slow_median,slow_min,slow_max,runtime_share,vtune_median,prog_slowdown,num_runs
52,0,java.util.ImmutableCollections$SetN$SetNIterator.next(),java.util.ImmutableCollections$SetN$SetNIterator.next(),0,1.0956353012021323,1.0956353012021323,1.0956353012021323,9.643964557718988e-05,,82.52044538316134,1
57,0,"java.util.HashMap.putVal(int,","java.util.HashMap.putVal(int,",0,-0.656977901652399,-0.656977901652399,-0.656977901652399,2.654160658254938e-06,,82.52044538316134,1
58,0,java.lang.String.equals(Object),java.lang.String.equals(Object),0,4.791271347248577,4.791271347248577,4.791271347248577,1.1749580950070457e-06,,82.52044538316134,1
69,0,java.util.HashMap.resize(),java.util.HashMap.resize(),0,-1.3938486349498906,-1.3938486349498906,-1.3938486349498906,4.553029105142739e-06,,82.52044538316134,1
69,1,java.util.HashMap.resize(),java.util.HashMap.resize(),0,1.2542461458061145,1.2542461458061145,1.2542461458061145,2.061096703554686e-06,,82.52044538316134,1
69,2,java.util.HashMap.resize(),java.util.HashMap.resize(),0,-1.2519012519012518,-1.2519012519012518,-1.2519012519012518,4.489201594322981e-06,,82.52044538316134,1
84,0,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","jdk.internal.util.ArraysSupport.unsignedHashCode(int,",0,-2.4390243902439024,-2.4390243902439024,-2.4390243902439024,2.127583693991934e-08,,82.52044538316134,1
84,1,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","jdk.internal.util.ArraysSupport.unsignedHashCode(int,",0,-87.24489795918367,-87.24489795918367,-87.24489795918367,1.3297398087449588e-08,,82.52044538316134,1
84,2,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","jdk.internal.util.ArraysSupport.unsignedHashCode(int,",0,17.741935483870968,17.741935483870968,17.741935483870968,3.8828402415352794e-08,,82.52044538316134,1
85,0,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp","jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",0,-0.14137356974869855,-0.14137356974869855,-0.14137356974869855,4.020016200205409e-05,,82.52044538316134,1
85,1,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp","jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",0,-4.9940546967895365,-4.9940546967895365,-4.9940546967895365,6.332274158835844e-05,,82.52044538316134,1
85,2,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp","jdk.internal.util.ArraysSupport.unsignedHashCode(int,-Re-Comp",0,0.05336133368907556,0.05336133368907556,0.05336133368907556,6.183343300256408e-05,,82.52044538316134,1
87,0,"java.lang.StringCoding.countPositives(byte[],","java.lang.StringCoding.countPositives(byte[],",0,2.2988505747126435,2.2988505747126435,2.2988505747126435,4.733873719132053e-08,,82.52044538316134,1
88,0,"java.lang.StringCoding.countPositives(byte[],-Re-Comp","java.lang.StringCoding.countPositives(byte[],-Re-Comp",0,9.017595307917889,9.017595307917889,9.017595307917889,2.372787714724504e-06,,82.52044538316134,1
138,0,"java.lang.StringLatin1.equals(byte[],","java.lang.StringLatin1.equals(byte[],",0,-1.751174870145931,-1.751174870145931,-1.751174870145931,1.0563984936593451e-05,,82.52044538316134,1
140,1,java.util.Properties$LineReader.readLine(),java.util.Properties$LineReader.readLine(),1,13.624040279771263,13.624040279771263,13.624040279771263,7.95817361778448e-05,,82.52044538316134,1
140,2,java.util.Properties$LineReader.readLine(),java.util.Properties$LineReader.readLine(),0,1.6279690419001867,1.6279690419001867,1.6279690419001867,4.050919353360643e-06,,82.52044538316134,1
140,5,java.util.Properties$LineReader.readLine(),java.util.Properties$LineReader.readLine(),0,58.37563451776649,58.37563451776649,58.37563451776649,1.6595152813137085e-07,,82.52044538316134,1
141,0,java.util.Properties$LineReader.readLine()-Re-Comp,java.util.Properties$LineReader.readLine()-Re-Comp,2,1.6943734015345269,1.6943734015345269,1.6943734015345269,1.6919609326470856e-05,,82.52044538316134,1
