tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
async,LoopBenchmarks,slowdown,Harness::main,569890,13256675,4.298890936075599
async,LoopBenchmarks,slowdown,LoopBenchmarks::base64EncodeLoop,102256,13256675,0.7713548080495297
async,LoopBenchmarks,slowdown,LoopBenchmarks::blurLoop,317854,13256675,2.3976902202098187
async,LoopBenchmarks,slowdown,LoopBenchmarks::bubbleSortLoop,1511816,13256675,11.404186947330306
async,LoopBenchmarks,slowdown,LoopBenchmarks::crc32Loop,2478536,13256675,18.69651326595847
async,LoopBenchmarks,slowdown,LoopBenchmarks::editDistanceLoop,1624186,13256675,12.251835396130629
async,LoopBenchmarks,slowdown,LoopBenchmarks::histogramLoop,494604,13256675,3.73098080778174
async,LoopBenchmarks,slowdown,LoopBenchmarks::mandelbrotLoop,151279,13256675,1.1411534189380066
async,LoopBenchmarks,slowdown,LoopBenchmarks::matrixMultiplyLoop,905213,13256675,6.828356280892455
async,LoopBenchmarks,slowdown,LoopBenchmarks::monteCarloPiLoop,790815,13256675,5.96540987841974
async,LoopBenchmarks,slowdown,LoopBenchmarks::parseJsonLoop,876572,13256675,6.612306630433348
async,LoopBenchmarks,slowdown,LoopBenchmarks::polynomialLoop,375964,13256675,2.8360354312072977
async,LoopBenchmarks,slowdown,LoopBenchmarks::raySphereLoop,120487,13256675,0.9088779803382069
async,LoopBenchmarks,slowdown,LoopBenchmarks::sieveLoop,843101,13256675,6.359822504511878
