comp_id,method,loop_id,probe_node,probe_graal_block_id
550,java.util.Iterator.forEachRemaining,0,b3,3
551,java.util.Iterator.forEachRemaining,0,b8,8
553,java.util.Arrays.copyOf,0,b4,4
553,java.util.Arrays.copyOf,1,b20,20
554,java.util.ArrayList.grow,0,b5,5
554,java.util.ArrayList.grow,1,b18,18
554,java.util.ArrayList.grow,2,b32,32
598,java.util.HashMap$EntrySpliterator.forEachRemaining,0,b21,21
600,java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial,0,b23,23
602,java.util.HashMap.replaceAll,0,b2,2
602,java.util.HashMap.replaceAll,1,b4,4
698,java.util.regex.Matcher.reset,0,b2,2
702,java.util.regex.Pattern$StartS.match,0,b12,12
705,java.util.stream.Collectors.lambda$groupingBy$2,0,b5,5
705,java.util.stream.Collectors.lambda$groupingBy$2,1,b7,7
732,java.util.stream.IntPipeline.forEachWithCancel,3,b24,24
732,java.util.stream.IntPipeline.forEachWithCancel,0,b39,39
738,java.util.stream.AbstractPipeline.isShortCircuitingPipeline,0,b4,4
740,org.renaissance.jdk.streams.JavaScrabble.isAlphabetical,0,b14,14
753,org.renaissance.jdk.streams.JavaScrabble$$Lambda/0x000000009911d250.test,0,b22,22
780,java.util.stream.ReferencePipeline$8.opWrapSink,0,b4,4
719,java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial,0,b23,23
794,java.util.Arrays.copyOf,0,b4,4
794,java.util.Arrays.copyOf,1,b20,20
796,java.util.TreeMap.merge,0,b9,9
796,java.util.TreeMap.merge,1,b31,31
798,java.lang.invoke.MethodType.hashCode,0,b16,16
804,java.lang.System$1.countNonZeroAscii,0,b9,9
812,java.util.TreeMap.fixAfterInsertion,0,b36,36
814,java.util.TreeMap.addEntry,0,b42,42
816,java.util.TreeMap.successor,1,b4,4
816,java.util.TreeMap.successor,0,b14,14
817,java.util.TreeMap$PrivateEntryIterator.nextEntry,1,b5,5
817,java.util.TreeMap$PrivateEntryIterator.nextEntry,0,b14,14
818,java.util.TreeMap$EntryIterator.next,1,b5,5
818,java.util.TreeMap$EntryIterator.next,0,b14,14
819,java.util.TreeMap$EntryIterator.next,1,b5,5
819,java.util.TreeMap$EntryIterator.next,0,b14,14
820,java.util.ArrayList.toArray,0,b4,4
820,java.util.ArrayList.toArray,1,b20,20
821,java.util.stream.Collectors$$Lambda/0x00000000990286d8.apply,0,b18,18
821,java.util.stream.Collectors$$Lambda/0x00000000990286d8.apply,1,b34,34
822,java.util.ArrayList.addAll,0,b5,5
822,java.util.ArrayList.addAll,1,b21,21
827,java.util.Arrays.copyOf,0,b8,8
828,java.util.stream.Collectors.lambda$mapMerger$0,2,b8,8
828,java.util.stream.Collectors.lambda$mapMerger$0,1,b17,17
828,java.util.stream.Collectors.lambda$mapMerger$0,3,b31,31
828,java.util.stream.Collectors.lambda$mapMerger$0,4,b53,53
828,java.util.stream.Collectors.lambda$mapMerger$0,0,b83,83
828,java.util.stream.Collectors.lambda$mapMerger$0,6,b90,90
828,java.util.stream.Collectors.lambda$mapMerger$0,5,b99,99
828,java.util.stream.Collectors.lambda$mapMerger$0,7,b112,112
828,java.util.stream.Collectors.lambda$mapMerger$0,8,b136,136
829,java.util.stream.Collectors.lambda$mapMerger$0,1,b11,11
829,java.util.stream.Collectors.lambda$mapMerger$0,0,b15,15
829,java.util.stream.Collectors.lambda$mapMerger$0,3,b22,22
829,java.util.stream.Collectors.lambda$mapMerger$0,2,b31,31
834,java.util.concurrent.ForkJoinPool.deactivate,0,b35,35
834,java.util.concurrent.ForkJoinPool.deactivate,1,b66,66
835,java.util.concurrent.ForkJoinPool.deactivate,0,b21,21
835,java.util.concurrent.ForkJoinPool.deactivate,1,b59,59
846,jdk.internal.util.ArraysSupport.mismatch,0,b20,20
861,java.util.concurrent.ForkJoinPool.runWorker,5,b60,60
861,java.util.concurrent.ForkJoinPool.runWorker,3,b99,99
861,java.util.concurrent.ForkJoinPool.runWorker,4,b106,106
861,java.util.concurrent.ForkJoinPool.runWorker,6,b155,155
861,java.util.concurrent.ForkJoinPool.runWorker,0,b176,176
861,java.util.concurrent.ForkJoinPool.runWorker,1,b178,178
861,java.util.concurrent.ForkJoinPool.runWorker,2,b185,185
862,java.util.concurrent.ForkJoinPool.runWorker,0,b2,2
862,java.util.concurrent.ForkJoinPool.runWorker,1,b4,4
862,java.util.concurrent.ForkJoinPool.runWorker,2,b11,11
864,java.util.concurrent.ForkJoinPool.runWorker,6,b44,44
864,java.util.concurrent.ForkJoinPool.runWorker,5,b74,74
864,java.util.concurrent.ForkJoinPool.runWorker,3,b113,113
864,java.util.concurrent.ForkJoinPool.runWorker,4,b120,120
864,java.util.concurrent.ForkJoinPool.runWorker,0,b172,172
864,java.util.concurrent.ForkJoinPool.runWorker,1,b174,174
864,java.util.concurrent.ForkJoinPool.runWorker,2,b181,181
897,jdk.internal.misc.Unsafe.allocateUninitializedArray0,0,b4,4
