"block_id","pos_index","address_timed","asm_timed_raw","time_sec","address_summary","asm_summary_raw","has_source","source"
"106","1","","mov ecx, dword ptr [rsi+0x14]","0.016","","","",""
"106","2","","data16 nop","0.025","","","",""
"106","3","","cmp r9d, dword ptr [rcx*8+0xc]","0.026","","","",""
"106","4","","jnb 0x7faf280c343b <Block 165>","","","","",""
"227","0","","nop dword ptr [rax+rax*1]","","","","",""
"227","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"227","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"227","3","","call 0x7faf2805417a","","","","",""
"107","0","","cmp r11d, 0x5","0.052","","mov ecx, dword ptr [rsp + 0x14]; mov r8d, dword ptr [rsi + 0x14]; nop dword ptr [rax + rax]; nop; cmp ecx, dword ptr [r8*8 + 0xc]; jae 0x1a","",""
"107","1","","jb 0x7faf280c343b <Block 165>","","","","",""
"228","0","","nop dword ptr [rax+rax*1]","","","","",""
"228","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"228","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"228","3","","call 0x7faf2805417a","","","","",""
"240","0","","jmp 0x7faf280c3c00 <Block 240>","","","","",""
"122","0","","mov r9d, dword ptr [rsp+0x30]","0.119","","cmp byte ptr [r11 + 0x16], 0; jne 0xb","",""
"122","1","","mov ecx, dword ptr [rsi+0x14]","0.030","","","",""
"122","2","","data16 nop","0.010","","","",""
"122","3","","cmp r9d, dword ptr [rcx*8+0xc]","0.006","","","",""
"122","4","","jnb 0x7faf280c3414 <Block 163>","","","","",""
"243","0","","mov rbx, 0x0","","","","",""
"123","0","","cmp r11d, 0x7","0.084","","mov r9d, dword ptr [rsp + 0x30]","",""
"123","1","","jb 0x7faf280c3414 <Block 163>","","","","",""
"244","0","","jmp 0x7faf280c3c1e <Block 244>","","","","",""
"120","0","","nop dword ptr [rax+rax*1+0x30000bb0]","0.030","","nop word ptr [rax + rax]; cmp dword ptr [r11 + 0xc], 7; jb 0x15","",""
"120","1","","test eax, eax","0.022","","","",""
"120","2","","jnz 0x7faf280c31f6 <Block 133>","","","","",""
"241","0","","mov rbx, 0x0","","","","",""
"121","0","","mov r10d, dword ptr [rsp+0x1c]","0.024","","","",""
"121","1","","mov rsi, qword ptr [rsp]","0.063","","","",""
"121","2","","mov edx, dword ptr [rsi+0x10]","0.013","","","",""
"121","3","","mov r11d, dword ptr [rdx*8+0xc]","0.026","","","",""
"121","4","","mov r8d, dword ptr [rsi+0xc]","0.135","","","",""
"121","5","","cmp r10d, dword ptr [r8*8+0xc]","0.025","","","",""
"121","6","","jnb 0x7faf280c3414 <Block 163>","","","","",""
"242","0","","jmp 0x7faf280c3c0f <Block 242>","","","","",""
"4","0","","mov r11d, r10d","0.185","","mov ecx, dword ptr [rsi + 0xc]; nop word ptr [rax + rax]; cmp edx, dword ptr [rcx*8 + 0xc]; jae 0x18","",""
"4","1","","shl r11, 0x3","0.240","","","",""
"4","2","","mov r8d, edx","0.209","","","",""
"4","3","","inc r8d","0.234","","","",""
"4","4","","mov dword ptr [rsp+0x30], r8d","0.179","","","",""
"4","5","","lea r9d, ptr [rdx+0x7]","0.249","","","",""
"4","6","","mov dword ptr [rsp+0x2c], r9d","0.212","","","",""
"4","7","","cmp byte ptr [r10*8+0x10], 0x0","0.245","","","",""
"4","8","","jnz 0x7faf280c2912 <Block 25>","0.408","","","",""
"3","0","","mov qword ptr [rsp+0x40], rbp","0.220","","","",""
"3","1","","mov qword ptr [rsp], rsi","0.240","","","",""
"3","2","","mov dword ptr [rsp+0x34], edx","0.275","","","",""
"3","3","","mov r10d, dword ptr [rsi+0x10]","0.164","","","",""
"3","4","","cmp dword ptr [r10*8+0xc], 0x0","0.255","","","",""
"3","5","","jz 0x7faf280c322e <Block 137>","0.468","","","",""
"6","0","","lea r10d, ptr [rdx+0x6]","0.163","","","",""
"6","1","","mov dword ptr [rsp+0x1c], r10d","0.189","","","",""
"6","2","","cmp byte ptr [r11+0x11], 0x0","0.222","","","",""
"6","3","","jnz 0x7faf280c295f <Block 30>","0.252","","","",""
"5","0","","cmp dword ptr [r11+0xc], 0x2","0.213","","mov ebx, edx; cmp byte ptr [rbx + rcx*8 + 0x10], 0; je 0xfffffffffffffec0","",""
"5","1","","jb 0x7faf280c3278 <Block 141>","0.233","","","",""
"8","0","","cmp dword ptr [r11+0xc], 0x3","0.278","","cmp byte ptr [r9 + rdi*8 + 0x10], 0; je 0xfffffffffffffea1; jmp 0x11","",""
"8","1","","jb 0x7faf280c349f <Block 172>","0.190","","","",""
"7","0","","mov r8d, dword ptr [rsp+0x30]","0.145","","mov edi, dword ptr [rsi + 0x14]; nop; cmp r9d, dword ptr [rdi*8 + 0xc]; jae 0x11","",""
"7","1","","mov r9d, r10d","0.212","","","",""
