"vtune_block_id","graal_block_id","line_index","line_text","line_time","source"
"12","62","7","jnz 0x7faf280c2a05 <Block 40>","0.231","at Queens.getRowColumn(int, int) [bci: 6]"
"13","63","1","mov r8d, r10d","0.113","null"
"14","80","1","cmp dword ptr [r11+0xc], 0x5","0.312","at Queens.getRowColumn(int, int) [bci: 5]"
"14","80","2","jb 0x7faf280c32be <Block 145>","0.147","at Queens.getRowColumn(int, int) [bci: 5]"
"15","82","1","cmp byte ptr [r11+0x14], 0x0","0.198","at Queens.getRowColumn(int, int) [bci: 6]"
"15","82","2","jnz 0x7faf280c2a54 <Block 45>","0.215","at Queens.getRowColumn(int, int) [bci: 6]"
"10","43","1","mov r8d, r10d","0.100","null"
"11","60","1","cmp dword ptr [r11+0xc], 0x4","0.219","at Queens.getRowColumn(int, int) [bci: 5]"
"11","60","2","jb 0x7faf280c348d <Block 170>","0.148","at Queens.getRowColumn(int, int) [bci: 5]"
"105","95","1","mov r10d, dword ptr [rsp+0x10]","0.018","null"
"105","95","2","mov rsi, qword ptr [rsp]","0.039","null"
"105","95","3","mov edx, dword ptr [rsi+0x10]","0.029","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"105","95","4","mov r11d, dword ptr [rdx*8+0xc]","0.017","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"105","95","5","mov r8d, dword ptr [rsi+0xc]","0.043","at Queens.setRowColumn(int, int, boolean) [bci: 8]"
"105","95","6","cmp r10d, dword ptr [r8*8+0xc]","0.039","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"105","95","7","jnb 0x7faf280c343b <Block 165>","","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"102","92","1","mov ebx, dword ptr [rsp+0x34]","0.031","null"
"102","92","2","mov dword ptr [rcx*8+0x20], ebx","0.024","at Queens.placeQueen(int) [bci: 23]"
"102","92","3","mov byte ptr [r11+0x14], 0x0","0.044","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"102","92","4","mov byte ptr [r8+rdx*8+0x10], 0x0","0.023","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"102","92","5","mov byte ptr [r9+r10*8+0x10], 0x0","0.024","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"102","92","6","cmp ebx, 0x7","0.020","at Queens.placeQueen(int) [bci: 34]"
"102","92","7","jz 0x7faf280c3212 <Block 135>","","at Queens.placeQueen(int) [bci: 34]"
"103","94","1","mov r11, rsi","0.018","null"
