"vtune_block_id","graal_block_id","line_index","line_text","line_time","source"
"43","68","3","jnz 0x7faf280c2e38 <Block 93>","0.118","at Queens.placeQueen(int) [bci: 14]"
"44","69","1","mov r8d, r10d","0.027","null"
"44","69","2","jmp 0x7faf280c2883 <Block 14>","0.029","at Queens.placeQueen(int) [bci: 2]"
"40","64","1","mov ebx, dword ptr [rsi+0xc]","0.098","at Queens.getRowColumn(int, int) [bci: 10]"
"40","64","2","cmp r9d, dword ptr [rbx*8+0xc]","0.084","at Queens.getRowColumn(int, int) [bci: 16]"
"40","64","3","jnb 0x7faf280c329b <Block 143>","","at Queens.getRowColumn(int, int) [bci: 16]"
"130","157","1","mov edx, dword ptr [rsp+0x34]","0.139","null"
"130","157","2","mov r8d, dword ptr [rsi+0x14]","0.011","at Queens.setRowColumn(int, int, boolean) [bci: 17]"
"130","157","3","data16 nop","0.015","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"130","157","4","cmp edx, dword ptr [r8*8+0xc]","0.005","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"130","157","5","jnb 0x7faf280c33c7 <Block 159>","","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"133","215","1","mov eax, 0x1","0.044","at Queens.placeQueen(int) [bci: 50]"
"133","215","2","mov rbp, qword ptr [rsp+0x40]","","at Queens.placeQueen(int) [bci: 50]"
"133","215","3","add rsp, 0x48","0.003","at Queens.placeQueen(int) [bci: 50]"
"133","215","4","cmp rsp, qword ptr [r15+0x450]","0.054","at Queens.placeQueen(int) [bci: 50]"
"133","215","5","jnbe 0x7faf280c34dc <Block 181>","","at Queens.placeQueen(int) [bci: 50]"
"131","158","1","cmp r10d, 0x8","0.099","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"131","158","2","jb 0x7faf280c33c7 <Block 159>","","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"132","160","1","mov rbx, qword ptr [rsp+0x20]","0.008","null"
"132","160","2","mov byte ptr [rax*8+0x17], 0x1","0.004","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"132","160","3","mov byte ptr [r9+r11*8+0x10], 0x1","0.122","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"132","160","4","mov byte ptr [rbx+r8*8+0x10], 0x1","0.053","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"132","160","5","jmp 0x7faf280c28f6 <Block 23>","0.026","at Queens.placeQueen(int) [bci: 58]"
"78","32","1","mov dword ptr [rdi*8+0x14], edx","0.045","at Queens.placeQueen(int) [bci: 23]"
"78","32","2","mov byte ptr [r11+0x11], 0x0","0.034","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"78","32","3","mov byte ptr [r8+rcx*8+0x10], 0x0","0.040","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"78","32","4","mov byte ptr [r10+rbx*8+0x10], 0x0","0.037","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"78","32","5","cmp edx, 0x7","0.047","at Queens.placeQueen(int) [bci: 34]"
"78","32","6","jz 0x7faf280c3212 <Block 135>","","at Queens.placeQueen(int) [bci: 34]"
"79","34","1","mov r11, rsi","0.027","null"
"79","34","2","mov edx, r8d","0.047","at Queens.placeQueen(int) [bci: 43]"
"79","34","3","data16 nop","0.036","at Queens.placeQueen(int) [bci: 43]"
"79","34","4","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.051","at Queens.placeQueen(int) [bci: 43]"
"77","30","1","mov edi, dword ptr [rsi+0x18]","0.044","at Queens.placeQueen(int) [bci: 18]"
"77","30","2","cmp dword ptr [rdi*8+0xc], 0x2","0.029","at Queens.placeQueen(int) [bci: 23]"
"77","30","3","jb 0x7faf280c3278 <Block 141>","0.076","at Queens.placeQueen(int) [bci: 23]"
"70","12","1","mov dword ptr [r11*8+0x10], edx","","at Queens.placeQueen(int) [bci: 23]"
"70","12","2","mov byte ptr [r10*8+0x10], 0x0","0.002","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"70","12","3","mov byte ptr [rbx+rcx*8+0x10], 0x0","0.006","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"70","12","4","mov byte ptr [r9+rdi*8+0x10], 0x0","0.002","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"70","12","5","cmp edx, 0x7","0","at Queens.placeQueen(int) [bci: 34]"
"70","12","6","jz 0x7faf280c3212 <Block 135>","","at Queens.placeQueen(int) [bci: 34]"
"71","14","1","mov qword ptr [rsp+0x20], rbx","0.001","null"
"71","14","2","mov r10, rsi","0.004","null"
"71","14","3","mov edx, r8d","0.008","at Queens.placeQueen(int) [bci: 43]"
"71","14","4","nop","0","at Queens.placeQueen(int) [bci: 43]"
"71","14","5","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.001","at Queens.placeQueen(int) [bci: 43]"
"126","152","1","mov dword ptr [rdi*8+0x2c], r8d","0.023","at Queens.placeQueen(int) [bci: 23]"
"126","152","2","mov byte ptr [r11+0x17], 0x0","0.050","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"126","152","3","mov byte ptr [r10+rdx*8+0x10], 0x0","0.017","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"126","152","4","mov byte ptr [rbx+rcx*8+0x10], 0x0","0.061","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"126","152","5","cmp r8d, 0x7","0.018","at Queens.placeQueen(int) [bci: 34]"
"126","152","6","jz 0x7faf280c3212 <Block 135>","","at Queens.placeQueen(int) [bci: 34]"
"127","155","1","mov qword ptr [rsp+0x20], rbx","0.038","null"
"127","155","2","mov r11, rsi","0.013","null"
"127","155","3","mov edx, r9d","0.039","at Queens.placeQueen(int) [bci: 43]"
"127","155","4","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.023","at Queens.placeQueen(int) [bci: 43]"
"124","139","1","mov byte ptr [rdx*8+0x16], 0x1","0.013","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"124","139","2","mov byte ptr [r10+r8*8+0x10], 0x1","0.114","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"124","139","3","mov byte ptr [r9+rcx*8+0x10], 0x1","0.083","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"124","139","4","shl rdx, 0x3","0.035","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"124","139","5","mov r11, rdx","0.002","null"
"124","139","6","jmp 0x7faf280c28db <Block 21>","0.023","at Queens.placeQueen(int) [bci: 58]"
"125","150","1","mov edi, dword ptr [rsi+0x18]","0.059","at Queens.placeQueen(int) [bci: 18]"
"125","150","2","nop dword ptr [rax+rax*1]","0.016","at Queens.placeQueen(int) [bci: 23]"
"125","150","3","cmp dword ptr [rdi*8+0xc], 0x8","0.042","at Queens.placeQueen(int) [bci: 23]"
"125","150","4","jb 0x7faf280c34a8 <Block 173>","0.080","at Queens.placeQueen(int) [bci: 23]"
"129","156","1","mov r9d, dword ptr [rsp+0x2c]","0.071","null"
"129","156","2","mov rsi, qword ptr [rsp]","0.041","null"
"129","156","3","mov eax, dword ptr [rsi+0x10]","0.010","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"129","156","4","mov r10d, dword ptr [rax*8+0xc]","0.061","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"129","156","5","mov r11d, dword ptr [rsi+0xc]","0.108","at Queens.setRowColumn(int, int, boolean) [bci: 8]"
"129","156","6","cmp r9d, dword ptr [r11*8+0xc]","0.010","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"129","156","7","jnb 0x7faf280c3496 <Block 171>","","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"67","66","1","mov r8d, r10d","0.037","null"
"67","66","2","jmp 0x7faf280c2883 <Block 14>","0.027","at Queens.getRowColumn(int, int) [bci: 38]"
"68","126","1","mov r9d, dword ptr [rsp+0x30]","0.044","null"
"68","126","2","jmp 0x7faf280c28db <Block 21>","0.003","at Queens.getRowColumn(int, int) [bci: 38]"
"69","10","1","mov r11d, dword ptr [rsi+0x18]","","at Queens.placeQueen(int) [bci: 18]"
"69","10","2","cmp dword ptr [r11*8+0xc], 0x0","","at Queens.placeQueen(int) [bci: 23]"
"69","10","3","jz 0x7faf280c322e <Block 137>","0.014","at Queens.placeQueen(int) [bci: 23]"
"63","148","1","mov ebx, r8d","0.152","at Queens.getRowColumn(int, int) [bci: 30]"
"63","148","2","cmp byte ptr [rbx+rcx*8+0x10], 0x0","0.086","at Queens.placeQueen(int) [bci: 14]"
"63","148","3","jz 0x7faf280c28f6 <Block 23>","0.145","at Queens.placeQueen(int) [bci: 14]"
"65","26","1","mov r9d, r10d","0.015","null"
"65","26","2","jmp 0x7faf280c2827 <Block 8>","0.029","at Queens.getRowColumn(int, int) [bci: 38]"
"66","46","1","mov r8d, r10d","0.033","null"
"66","46","2","jmp 0x7faf280c2854 <Block 11>","0.019","at Queens.getRowColumn(int, int) [bci: 38]"
"60","144","1","mov r10d, dword ptr [rsp+0x2c]","0.092","null"
"60","144","2","mov edx, dword ptr [rsi+0xc]","0.054","at Queens.getRowColumn(int, int) [bci: 10]"
"60","144","3","cmp r10d, dword ptr [rdx*8+0xc]","0.092","at Queens.getRowColumn(int, int) [bci: 16]"
"60","144","4","jnb 0x7faf280c34ad <Block 174>","","at Queens.getRowColumn(int, int) [bci: 16]"
"61","145","1","nop dword ptr [rax+rax*1]","0.202","at Queens.getRowColumn(int, int) [bci: 17]"
"61","145","2","cmp byte ptr [r10+rdx*8+0x10], 0x0","0.065","at Queens.getRowColumn(int, int) [bci: 17]"
"61","145","3","jz 0x7faf280c28f6 <Block 23>","0.170","at Queens.getRowColumn(int, int) [bci: 17]"
"62","147","1","mov r8d, dword ptr [rsp+0x34]","0.111","null"
"62","147","2","mov ecx, dword ptr [rsi+0x14]","0.053","at Queens.getRowColumn(int, int) [bci: 21]"
"62","147","3","nop dword ptr [rax+rax*1]","0.091","at Queens.getRowColumn(int, int) [bci: 30]"
"62","147","4","data16 nop","0.092","at Queens.getRowColumn(int, int) [bci: 30]"
"62","147","5","cmp r8d, dword ptr [rcx*8+0xc]","0.122","at Queens.getRowColumn(int, int) [bci: 30]"
"62","147","6","jnb 0x7faf280c34b3 <Block 175>","","at Queens.getRowColumn(int, int) [bci: 30]"
"135","154","1","mov eax, 0x1","0","at Queens.placeQueen(int) [bci: 38]"
"135","154","2","mov rbp, qword ptr [rsp+0x40]","0.002","at Queens.placeQueen(int) [bci: 38]"
"135","154","3","add rsp, 0x48","","at Queens.placeQueen(int) [bci: 38]"
"135","154","4","cmp rsp, qword ptr [r15+0x450]","","at Queens.placeQueen(int) [bci: 38]"
"135","154","5","jnbe 0x7faf280c34f0 <Block 183>","","at Queens.placeQueen(int) [bci: 38]"
"97","75","1","mov r9d, dword ptr [rsp+0xc]","0.030","null"
"97","75","2","mov rsi, qword ptr [rsp]","0.051","null"
"97","75","3","mov edx, dword ptr [rsi+0x10]","0.022","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"97","75","4","mov r10d, dword ptr [rdx*8+0xc]","0.032","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"97","75","5","mov r11d, dword ptr [rsi+0xc]","0.094","at Queens.setRowColumn(int, int, boolean) [bci: 8]"
"97","75","6","cmp r9d, dword ptr [r11*8+0xc]","0.025","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"97","75","7","jnb 0x7faf280c33ed <Block 161>","","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"98","76","1","mov r8d, dword ptr [rsp+0x10]","0.100","null"
"98","76","2","mov ecx, dword ptr [rsi+0x14]","0.031","at Queens.setRowColumn(int, int, boolean) [bci: 17]"
"98","76","3","nop word ptr [rax+rax*1]","0.015","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"98","76","4","cmp r8d, dword ptr [rcx*8+0xc]","0.011","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"98","76","5","jnb 0x7faf280c33ed <Block 161>","","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"99","77","1","cmp r10d, 0x4","0.076","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"99","77","2","jb 0x7faf280c33ed <Block 161>","","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"92","59","1","mov byte ptr [rdx*8+0x12], 0x1","0.045","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"92","59","2","mov byte ptr [rcx+r11*8+0x10], 0x1","0.065","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"92","59","3","mov byte ptr [r8+r9*8+0x10], 0x1","0.055","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"92","59","4","shl rdx, 0x3","0.024","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"92","59","5","mov r11, rdx","0.033","null"
"92","59","6","jmp 0x7faf280c2854 <Block 11>","0.042","at Queens.placeQueen(int) [bci: 58]"
"93","70","1","mov eax, dword ptr [rsi+0x18]","0.034","at Queens.placeQueen(int) [bci: 18]"
"93","70","2","nop dword ptr [rax+rax*1]","0.022","at Queens.placeQueen(int) [bci: 23]"
"93","70","3","cmp dword ptr [rax*8+0xc], 0x4","0.029","at Queens.placeQueen(int) [bci: 23]"
"93","70","4","jb 0x7faf280c329b <Block 143>","0.053","at Queens.placeQueen(int) [bci: 23]"
"94","72","1","mov dword ptr [rax*8+0x1c], edx","0.034","at Queens.placeQueen(int) [bci: 23]"
"94","72","2","mov byte ptr [r11+0x13], 0x0","0.041","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"94","72","3","mov byte ptr [r9+rbx*8+0x10], 0x0","0.034","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"94","72","4","mov byte ptr [r10+rdi*8+0x10], 0x0","0.039","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"94","72","5","cmp edx, 0x7","0.030","at Queens.placeQueen(int) [bci: 34]"
"94","72","6","jz 0x7faf280c3212 <Block 135>","","at Queens.placeQueen(int) [bci: 34]"
"95","74","1","mov r8, rsi","0.038","null"
"95","74","2","mov edx, dword ptr [rsp+0x30]","0.022","at Queens.placeQueen(int) [bci: 43]"
"95","74","3","nop","0.032","at Queens.placeQueen(int) [bci: 43]"
"95","74","4","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.030","at Queens.placeQueen(int) [bci: 43]"
"90","56","1","mov r8d, dword ptr [rsp+0x18]","0.111","null"
"90","56","2","mov r9d, dword ptr [rsi+0x14]","0.031","at Queens.setRowColumn(int, int, boolean) [bci: 17]"
"90","56","3","nop word ptr [rax+rax*1]","0.057","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"90","56","4","cmp r8d, dword ptr [r9*8+0xc]","0.038","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"90","56","5","jnb 0x7faf280c3356 <Block 153>","","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"91","57","1","cmp r10d, 0x3","0.087","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"91","57","2","jb 0x7faf280c3356 <Block 153>","","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"89","55","1","mov ecx, dword ptr [rsp+0x14]","0.023","null"
"89","55","2","mov rsi, qword ptr [rsp]","0.073","null"
"89","55","3","mov edx, dword ptr [rsi+0x10]","0.029","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"89","55","4","mov r10d, dword ptr [rdx*8+0xc]","0.028","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"89","55","5","mov r11d, dword ptr [rsi+0xc]","0.079","at Queens.setRowColumn(int, int, boolean) [bci: 8]"
"89","55","6","cmp ecx, dword ptr [r11*8+0xc]","0.043","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"89","55","7","jnb 0x7faf280c3356 <Block 153>","","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"85","50","1","mov eax, dword ptr [rsi+0x18]","0.034","at Queens.placeQueen(int) [bci: 18]"
"85","50","2","nop dword ptr [rax+rax*1]","0.054","at Queens.placeQueen(int) [bci: 23]"
"85","50","3","cmp dword ptr [rax*8+0xc], 0x3","0.036","at Queens.placeQueen(int) [bci: 23]"
"85","50","4","jb 0x7faf280c32e5 <Block 147>","0.061","at Queens.placeQueen(int) [bci: 23]"
"86","52","1","mov dword ptr [rax*8+0x18], edx","0.053","at Queens.placeQueen(int) [bci: 23]"
"86","52","2","mov byte ptr [r11+0x12], 0x0","0.032","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"86","52","3","mov byte ptr [rcx+rbx*8+0x10], 0x0","0.020","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"86","52","4","mov byte ptr [r10+rdi*8+0x10], 0x0","0.048","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"86","52","5","cmp edx, 0x7","0.053","at Queens.placeQueen(int) [bci: 34]"
"86","52","6","jz 0x7faf280c3212 <Block 135>","","at Queens.placeQueen(int) [bci: 34]"
"87","54","1","mov r9, rsi","0.029","null"
"87","54","2","mov edx, r8d","0.023","at Queens.placeQueen(int) [bci: 43]"
"87","54","3","data16 nop","0.042","at Queens.placeQueen(int) [bci: 43]"
"87","54","4","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.051","at Queens.placeQueen(int) [bci: 43]"
"81","35","1","mov r8d, dword ptr [rsp+0x30]","0.045","null"
"81","35","2","mov rsi, qword ptr [rsp]","0.075","null"
"81","35","3","mov edx, dword ptr [rsi+0x10]","0.048","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"81","35","4","mov r10d, dword ptr [rdx*8+0xc]","0.057","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"81","35","5","mov r11d, dword ptr [rsi+0xc]","0.094","at Queens.setRowColumn(int, int, boolean) [bci: 8]"
"81","35","6","cmp r8d, dword ptr [r11*8+0xc]","0.028","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"81","35","7","jnb 0x7faf280c332f <Block 151>","","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"82","36","1","mov r9d, dword ptr [rsp+0x1c]","0.150","null"
"82","36","2","mov ecx, dword ptr [rsi+0x14]","0.031","at Queens.setRowColumn(int, int, boolean) [bci: 17]"
"82","36","3","nop word ptr [rax+rax*1]","0.031","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"82","36","4","cmp r9d, dword ptr [rcx*8+0xc]","0.033","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"82","36","5","jnb 0x7faf280c332f <Block 151>","","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"83","37","1","cmp r10d, 0x2","0.089","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"83","37","2","jb 0x7faf280c332f <Block 151>","","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"84","39","1","mov byte ptr [rdx*8+0x11], 0x1","0.022","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"84","39","2","mov byte ptr [r8+r11*8+0x10], 0x1","0.121","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"84","39","3","mov byte ptr [r9+rcx*8+0x10], 0x1","0.086","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"84","39","4","shl rdx, 0x3","0.035","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"84","39","5","mov r11, rdx","0.021","null"
"84","39","6","jmp 0x7faf280c2827 <Block 8>","0.031","at Queens.placeQueen(int) [bci: 58]"
