benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
mnemonics,685,"java.util.HashMap.putVal(int,-Re-Comp",java.util.HashMap.putVal,0,0,1350929148,1627275332,20.456008696615967,28.37465564738292,0.03494491877326022,4656686548790,-1.0
mnemonics,686,java.util.HashMap.resize()-Re-Comp,java.util.HashMap.resize,0,1,7178735166,8933419904,24.4428119637364,-46.37380853709075,0.19184069639218626,4656686548790,-1.0
mnemonics,686,java.util.HashMap.resize()-Re-Comp,java.util.HashMap.resize,1,0,3470830724,4262090476,22.797416956367822,37.86724700761698,0.09152624793067654,4656686548790,-1.0
mnemonics,686,java.util.HashMap.resize()-Re-Comp,java.util.HashMap.resize,2,0,1082313020,1098006182,1.4499651865963878,-16.494845360824755,0.023579130149640574,4656686548790,-1.0
mnemonics,704,"java.util.TimSort.mergeLo(int,",java.util.TimSort.mergeLo,2,3,766,127910,16598.433420365534,,2.7468028749591553e-06,4656686548790,-1.0
mnemonics,705,"java.util.TimSort.mergeLo(int,-Re-Comp",java.util.TimSort.mergeLo,0,11,162288132,7076556,-95.63951108883305,,0.0001519654785834529,4656686548790,-1.0
mnemonics,705,"java.util.TimSort.mergeLo(int,-Re-Comp",java.util.TimSort.mergeLo,1,3,93590188,1534964998,1540.0917989394359,,0.0329626008089131,4656686548790,-1.0
mnemonics,706,"java.util.TimSort.binarySort(Object[],",java.util.TimSort.binarySort,0,5,7182,7734,7.685881370091896,,1.6608375760248698e-07,4656686548790,-1.0
mnemonics,707,"java.util.TimSort.binarySort(Object[],-Re-Comp",java.util.TimSort.binarySort,0,5,3923472,165641484,4121.808744907572,,0.0035570675042115624,4656686548790,-1.0
mnemonics,707,"java.util.TimSort.binarySort(Object[],-Re-Comp",java.util.TimSort.binarySort,1,1,1241017480,94199068,-92.40952931621882,,0.002022877576427746,4656686548790,-1.0
mnemonics,708,"java.util.TimSort.mergeHi(int,",java.util.TimSort.mergeHi,0,3,13650,5550,-59.34065934065934,,1.1918345677447668e-07,4656686548790,-1.0
mnemonics,709,"java.util.TimSort.mergeHi(int,-Re-Comp",java.util.TimSort.mergeHi,0,11,18938,4029336,21176.46002745802,,8.652796270015185e-05,4656686548790,-1.0
mnemonics,709,"java.util.TimSort.mergeHi(int,-Re-Comp",java.util.TimSort.mergeHi,1,3,26660,1269078248,4760133.488372093,,0.027252816669177768,4656686548790,-1.0
mnemonics,710,"java.util.TimSort.gallopRight(Object,",java.util.TimSort.gallopRight,0,1,3662988,14388,-99.60720592041251,,3.0897505875156225e-07,4656686548790,-1.0
mnemonics,710,"java.util.TimSort.gallopRight(Object,",java.util.TimSort.gallopRight,1,1,3624990,23588,-99.34929475667519,,5.06540428539884e-07,4656686548790,-1.0
mnemonics,710,"java.util.TimSort.gallopRight(Object,",java.util.TimSort.gallopRight,2,1,449316,29598,-93.41265390059557,,6.356021538037767e-07,4656686548790,-1.0
mnemonics,712,"java.util.TimSort.countRunAndMakeAscending(Object[],",java.util.TimSort.countRunAndMakeAscending,0,1,382529040,3718460,-99.02792739604816,,7.985205705903074e-05,4656686548790,-1.0
mnemonics,771,java.util.stream.SortedOps$SizedRefSortingSink.end()-Re-Comp,java.util.stream.SortedOps$SizedRefSortingSink.end,0,1,96829627542,22346568,-99.97692176602631,,0.0004798813011325953,4656686548790,-1.0
mnemonics,773,java.util.ArrayList$ArrayListSpliterator.forEachRemaining(Consumer)-Re-Comp,java.util.ArrayList$ArrayListSpliterator.forEachRemaining,0,11,125372128,117165884332,93354.4912023827,,2.5160783983290558,4656686548790,-1.0
mnemonics,774,"java.util.TimSort.sort(Object[],",java.util.TimSort.sort,0,14,9738360,28665580,194.35736612735616,,0.0006155789035757304,4656686548790,-1.0
mnemonics,776,java.util.stream.LongPipeline.reduce(LongBinaryOperator)-Re-Comp,java.util.stream.LongPipeline.reduce,0,1,707458957372,9567028,-99.99864769144551,,0.00020544711136904654,4656686548790,-1.0
