benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,selected_loop_id,selected_loop_cycles
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,2977404144,bench13,140,InnerLoopStepBenchmark.bench13()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,200635848
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,2977404144,bench14,143,InnerLoopStepBenchmark.bench14()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,333262378
LoopStep,Nested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1.txt,2977404144,bench15,147,InnerLoopStepBenchmark.bench15()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,707607630
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench1,113,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1346668
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench2,115,InnerLoopStepBenchmark.bench2(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2559048
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench3,117,InnerLoopStepBenchmark.bench3(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,3775620
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench4,119,InnerLoopStepBenchmark.bench4(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,5691784
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench5,123,InnerLoopStepBenchmark.bench5()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,8050662
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench6,124,InnerLoopStepBenchmark.bench6(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,9320542
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench7,126,InnerLoopStepBenchmark.bench7(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,18725784
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench8,128,InnerLoopStepBenchmark.bench8(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,19679950
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench9,130,InnerLoopStepBenchmark.bench9(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,37267734
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench10,132,InnerLoopStepBenchmark.bench10(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,43844806
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench11,134,InnerLoopStepBenchmark.bench11(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,66399852
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench12,136,InnerLoopStepBenchmark.bench12(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,105619880
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench13,140,InnerLoopStepBenchmark.bench13()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,145175930
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench14,143,InnerLoopStepBenchmark.bench14()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,242432338
LoopStep,Nested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2.txt,2627541698,bench15,147,InnerLoopStepBenchmark.bench15()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,605912352
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench1,113,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1325682
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench2,115,InnerLoopStepBenchmark.bench2(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2010622
