Benchmark,Index,Activation Count
Bounce,jdk.internal.classfile.impl.AbstractPoolEntry$ClassEntryImpl.tag(),60
Bounce,java.lang.invoke.MethodTypeForm.erasedType(),30
Bounce,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",73
Bounce,java.lang.constant.ClassDesc.isPrimitive(),1
CD,Stub<new_instance_or_null(KlassPointer)Object>,11368
CD,Stub<write_barrier_pre-stack-only(Object)void>,4096
CD,Stub<AMD64MathStub.cos>,1806
CD,java.lang.Class.isPrimitive(),4202
CD,jdk.internal.util.StrongReferenceKey.get(),1272
CD,java.lang.Class.getClassLoader(),720
CD,java.lang.invoke.MethodType.returnType(),982
CD,jdk.internal.classfile.impl.AbstractPoolEntry.index(),4972
CD,java.lang.invoke.MemberName.getDeclaringClass(),642
CD,java.lang.invoke.MethodType.form(),250
CD,java.util.stream.FindOps$FindSink.cancellationRequested(),402
CD,java.lang.Object.<init>(),83430
CD,jdk.internal.module.ModuleReferenceImpl.moduleResolution(),204
CD,java.lang.String.hashCode(),41209
CD,java.lang.module.ModuleDescriptor$Requires.modifiers(),384
CD,java.lang.module.ModuleDescriptor$Requires.name(),702
CD,java.lang.module.ModuleDescriptor.requires(),152
CD,java.lang.module.ModuleDescriptor.isAutomatic(),1196
CD,java.util.HashMap$Node.getKey(),904
CD,java.util.HashMap$Node.getValue(),902
CD,java.util.ImmutableCollections$Set12.isEmpty(),2104
CD,java.lang.module.ModuleDescriptor$Exports.source(),10990
CD,java.lang.module.ModuleDescriptor$Exports.targets(),8954
CD,java.lang.module.ModuleDescriptor.provides(),300
CD,java.lang.module.ModuleDescriptor.exports(),390
CD,java.util.Objects.requireNonNull(Object),9188
CD,java.util.ImmutableCollections$SetN$SetNIterator.hasNext(),31905
CD,java.lang.module.ModuleDescriptor.uses(),68
CD,java.util.ImmutableCollections$SetN$SetNIterator.next(),209976
CD,java.util.HashMap.hash(Object),20110
CD,java.lang.module.ModuleDescriptor$Exports.isQualified(),12960
CD,java.lang.module.ModuleDescriptor$Provides.service(),146
CD,java.lang.Byte.toUnsignedInt(byte),25336
CD,"java.util.HashMap.putVal(int,",56158
CD,"java.util.HashMap$Node.<init>(int,",355
CD,java.lang.String.equals(Object),6897
CD,java.util.KeyValueHolder.getKey(),130
CD,java.util.KeyValueHolder.getValue(),58
CD,java.lang.module.ModuleDescriptor.packages(),296
CD,java.lang.module.ResolvedModule.reference(),560
CD,java.lang.module.ModuleDescriptor$Version.toString(),60
CD,java.lang.AbstractStringBuilder.length(),954
CD,"java.util.HashMap.newNode(int,",8370
CD,java.util.HashMap.afterNodeInsertion(boolean),1674
CD,java.util.HashMap.resize(),12493
CD,java.lang.module.ResolvedModule.configuration(),94
CD,java.lang.module.ModuleDescriptor.isOpen(),30
CD,java.util.HashMap.size(),28
CD,jdk.internal.classfile.impl.AbstractPoolEntry.width(),1348
CD,jdk.internal.classfile.impl.SplitConstantPool.size(),3382
CD,java.lang.invoke.MethodType.ptypes(),162
CD,java.util.zip.ZipCoder$UTF8ZipCoder.isUTF8(),45
CD,java.lang.AbstractStringBuilder.getValue(),336
CD,"java.lang.StringLatin1.equals(byte[],",12696
CD,jdk.internal.classfile.impl.AbstractPoolEntry.constantPool(),1128
CD,jdk.internal.classfile.impl.RawBytecodeHelper.bci(),2466
CD,java.util.zip.Inflater$InflaterZStreamRef.address(),136
CD,java.lang.String.coder(),14280
CD,cd.CallSign.compareTo(Object),45558
CD,cd.CallSign.compareTo(CallSign),5
CD,"cd.RedBlackTree.treeInsert(Comparable,",163482
CD,java.security.ProtectionDomain.getCodeSource(),24
CD,java.lang.Boolean.booleanValue(),13312
CD,cd.CallSign.compareTo(Object)-Re-Comp,36925
CD,"cd.Vector2D.compareNumbers(double,",41705
CD,cd.Vector2D.compareTo(Object),34780
CD,cd.Vector2D.compareTo(Vector2D),3
CD,cd.RedBlackTree.findNode(Comparable),1067460
CD,"cd.Vector2D.<init>(double,",54222
CD,"jdk.internal.util.Preconditions.checkIndex(int,",756
CD,"cd.RedBlackTree.treeInsert(Comparable,-Re-Comp",8559588
CD,"cd.CollisionDetector.recurse(RedBlackTree,",469741
CD,"cd.CollisionDetector.isInVoxel(Vector2D,",1112
CD,"cd.RedBlackTree.put(Comparable,",1657281
CD,som.Vector.size(),323880
CD,som.Vector.at(int),457595
CD,som.Vector.append(Object),1794349
CD,cd.Vector2D.minus(Vector2D),182976
CD,cd.Vector2D.plus(Vector2D),152482
