benchmark,comp_id,comp_name,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,2,0,19565733480,19547785694,-0.0917307087840389,5.582633522876111,350153482472,82.52044538316134
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,3,0,79576,79436,-0.17593244194229415,2.268605168202264e-05,350153482472,82.52044538316134
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,4,0,129697226,129320892,-0.29016349200868796,0.03693263053876413,350153482472,82.52044538316134
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,5,0,78690,66396,-15.62333206252383,1.896197048541688e-05,350153482472,82.52044538316134
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,6,0,680,686,0.8823529411764706,1.9591408749014966e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,7,0,36596,29202,-20.2043939228331,8.339771403625877e-06,350153482472,82.52044538316134
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,8,0,130629642,130994528,0.27932863813559256,0.03741060265207414,350153482472,82.52044538316134
LoopBenchmarksLFence,187,LoopBenchmarks.main(String[])-Re-Comp,9,0,9895094040,9865650012,-0.2975618814836448,2.817521602912776,350153482472,82.52044538316134
LoopBenchmarksLFence,191,LoopBenchmarks.parseJsonLoop(char[])-Re-Comp,0,0,10741611866,23896216966,122.46397713957393,6.824497873703386,350153482472,82.52044538316134
LoopBenchmarksLFence,193,LoopBenchmarks.main(String[])-Re-Comp,1,0,28666,28906,0.8372287727621573,8.255237045175316e-06,350153482472,82.52044538316134
LoopBenchmarksLFence,193,LoopBenchmarks.main(String[])-Re-Comp,2,0,658,654,-0.60790273556231,1.8677523792792694e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,193,LoopBenchmarks.main(String[])-Re-Comp,3,0,90,86,-4.444444444444445,2.4560658198473578e-08,350153482472,82.52044538316134
LoopBenchmarksLFence,193,LoopBenchmarks.main(String[])-Re-Comp,4,0,84,86,2.380952380952381,2.4560658198473578e-08,350153482472,82.52044538316134
LoopBenchmarksLFence,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",1,0,8989946,8975730,-0.15813220680079726,0.0025633701931602935,350153482472,82.52044538316134
LoopBenchmarksLFence,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",2,0,8155578,8141392,-0.1739423005947586,0.0023250923973463624,350153482472,82.52044538316134
LoopBenchmarksLFence,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",3,0,4522,4496,-0.574966828836798,1.284008363492293e-06,350153482472,82.52044538316134
LoopBenchmarksLFence,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",4,0,101938,96922,-4.920638034883949,2.767986178967972e-05,350153482472,82.52044538316134
LoopBenchmarksLFence,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",5,0,2466,1862,-24.493106244931063,5.317668089018348e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,195,"LoopBenchmarks.matrixMultiplyLoop(double[][],-Re-Comp",0,0,9346404,9123916,-2.380466326942426,0.002605690491948654,350153482472,82.52044538316134
LoopBenchmarksLFence,195,"LoopBenchmarks.matrixMultiplyLoop(double[][],-Re-Comp",1,0,1123000688,1134802884,1.050951804937808,0.3240872762391402,350153482472,82.52044538316134
LoopBenchmarksLFence,195,"LoopBenchmarks.matrixMultiplyLoop(double[][],-Re-Comp",2,0,11099252640,22552306310,103.18761128767315,6.440691707758011,350153482472,82.52044538316134
LoopBenchmarksLFence,197,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",0,0,86610,107884,24.56298348920448,3.081048894283864e-05,350153482472,82.52044538316134
LoopBenchmarksLFence,197,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",1,0,43197754,31526288,-27.018687128965084,0.009003562602728362,350153482472,82.52044538316134
LoopBenchmarksLFence,197,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",2,0,6648110630,13368551914,101.08798812212305,3.817912025212834,350153482472,82.52044538316134
LoopBenchmarksLFence,197,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",3,0,3857813702,7128502792,84.78089774797527,2.0358223318741464,350153482472,82.52044538316134
LoopBenchmarksLFence,197,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",4,0,988446516,2008083306,103.15548423664028,0.573486601310777,350153482472,82.52044538316134
LoopBenchmarksLFence,197,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",5,0,29212,45512,55.798986717787216,1.2997728789871272e-05,350153482472,82.52044538316134
LoopBenchmarksLFence,199,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",1,0,968774,965460,-0.3420818477787389,0.00027572480307323604,350153482472,82.52044538316134
LoopBenchmarksLFence,200,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",1,0,911608,597522,-34.454063588735515,0.0001706457396287015,350153482472,82.52044538316134
LoopBenchmarksLFence,200,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",2,0,8886198,8586850,-3.36868478510157,0.002452310323855382,350153482472,82.52044538316134
LoopBenchmarksLFence,204,"LoopBenchmarks.histogramLoop(int[],-Re-Comp",0,0,231608,243858,5.289109184484128,6.964317426701592e-05,350153482472,82.52044538316134
LoopBenchmarksLFence,204,"LoopBenchmarks.histogramLoop(int[],-Re-Comp",1,0,8223826014,14062033864,70.99138333010944,4.015962875686798,350153482472,82.52044538316134
LoopBenchmarksLFence,207,LoopBenchmarks.crc32Loop(byte[]),1,0,1184,616,-47.97297297297297,1.7592285407278748e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,208,LoopBenchmarks.crc32Loop(byte[])-Re-Comp,0,0,31635309982,61721126026,95.10201120557493,17.626877673831366,350153482472,82.52044538316134
LoopBenchmarksLFence,209,"LoopBenchmarks.polynomialLoop(double[],",0,0,762,928,21.784776902887142,2.65026637304459e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,209,"LoopBenchmarks.polynomialLoop(double[],",1,0,13188,14244,8.007279344858963,4.067930411384391e-06,350153482472,82.52044538316134
LoopBenchmarksLFence,209,"LoopBenchmarks.polynomialLoop(double[],",2,0,186,384,106.4516129032258,1.0966619474667271e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,210,"LoopBenchmarks.polynomialLoop(double[],-Re-Comp",0,0,528838,535570,1.2729796270313403,0.00015295292687623829,350153482472,82.52044538316134
LoopBenchmarksLFence,210,"LoopBenchmarks.polynomialLoop(double[],-Re-Comp",1,0,169065292,168717902,-0.2054768284432975,0.0481839851509949,350153482472,82.52044538316134
LoopBenchmarksLFence,210,"LoopBenchmarks.polynomialLoop(double[],-Re-Comp",2,0,321866,328248,1.982812723307215,9.374403409689016e-05,350153482472,82.52044538316134
LoopBenchmarksLFence,211,LoopBenchmarks.main(String[])-Re-Comp,1,0,888,956,7.657657657657657,2.730231306714039e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,211,LoopBenchmarks.main(String[])-Re-Comp,2,0,9718265822,9712939724,-0.05480502486300482,2.77390921701791,350153482472,82.52044538316134
LoopBenchmarksLFence,211,LoopBenchmarks.main(String[])-Re-Comp,3,0,15902,14046,-11.671487863161866,4.011383779718137e-06,350153482472,82.52044538316134
LoopBenchmarksLFence,211,LoopBenchmarks.main(String[])-Re-Comp,4,0,42,38,-9.523809523809524,1.0852383855139487e-08,350153482472,82.52044538316134
LoopBenchmarksLFence,213,"LoopBenchmarks.editDistanceLoop(char[],",0,0,1458,1456,-0.1371742112482853,4.15817655081134e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,213,"LoopBenchmarks.editDistanceLoop(char[],",1,0,8000,8080,1.0,2.3075595144612383e-06,350153482472,82.52044538316134
LoopBenchmarksLFence,213,"LoopBenchmarks.editDistanceLoop(char[],",2,0,1682,1194,-29.013079667063018,3.4099332429043545e-07,350153482472,82.52044538316134
LoopBenchmarksLFence,214,"LoopBenchmarks.editDistanceLoop(char[],-Re-Comp",0,0,68511444,84048268,22.677706223795255,0.02400326491304307,350153482472,82.52044538316134
