benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,3,10283,24269,42.370926,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,2,7817,24269,32.209815,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,SpaceMangler::mangle_region,,,3479,24269,14.335160,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,4,1547,24269,6.374387,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Sieve.sieve,,,556,24269,2.290989,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,MemAllocator::mem_allocate_inside_tlab_slow,,,302,24269,1.244386,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,0,215,24269,0.885904,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Benchmark.innerBenchmarkLoop,126,2,12,24269,0.049446,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,MarkBitMap::get_next_marked_addr,,,12,24269,0.049446,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,5,12,24269,0.049446,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,140,6,9,24269,0.037084,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Benchmark.innerBenchmarkLoop,126,1,6,24269,0.024723,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Sieve.benchmark,121,0,6,24269,0.024723,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,140,5,5,24269,0.020602,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,G1MasterFreeRegionListChecker::is_correct_type,,,2,24269,0.008241,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,G1ParScanThreadState::verify_task,,,2,24269,0.008241,no_marker
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Run.measure,141,1,2,24269,0.008241,
Sieve,AWFY,WithoutProbe,AUTO_PIPELINE,async,Sieve.benchmark,123,1,2,24269,0.008241,
