Rank,BuboCompId,BuboLoopId,BuboPercentChangeCycles,BuboBaselineSharePercent,AsyncCompId,AsyncLoopId,AsyncPercentChangeSamples,AsyncBaselineSharePercent
1,209,0,72.38756102968293,35.43794986877993,145,0,96.52873143420567,39.40982968083594
2,180,0,83.09091593520225,21.210586674397177,148,0,94.00384413329265,14.16557601976043
3,170,0,67.79632183725582,14.278450067370258,163,0,74.98094526433775,11.926931336257471
4,145,0,79.81371639384233,10.25968029736926,152,0,77.45501719005044,9.377624960952835
5,174,0,65.44356087728069,5.666520440577942,170,0,68.88770511829473,5.5629230852184035
6,163,0,58.569985886527384,3.2128157992081623,174,0,101.73178789315887,5.543872970717189
7,148,0,82.40233814578241,2.9106223973234564,180,1,71.20363567358736,4.579135066871473
8,152,0,56.9449039464464,2.5260824531142445,180,0,96.47523628893711,4.240911981341137
9,170,2,-2.0130953153121642,0.7213103693788668,180,4,33.27509186540817,1.2369428732741823
10,180,1,171.0293702437326,0.6831092583153092,174,3,-4.747071788986648,1.2231510359920164
11,180,3,-66.9472235007079,0.6555700765460798,171,0,261.6808129799642,0.7717635860737647
12,171,0,153.03341883880023,0.4449138782388459,174,2,58.51394454894905,0.5448555555704094
13,209,2,0.25156066093819923,0.4361732563871376,170,2,47.66582703610411,0.5307295057531346
14,170,3,14.488804281076195,0.3775054241192587,185,0,-1.2022752736361286,0.5170490726493384
15,180,4,33.98357346137976,0.3283759784079898,170,3,69.35581339134639,0.3687032687322784
