Rank,BuboCompId,BuboLoopId,BuboPercentChangeCycles,BuboBaselineSharePercent,AsyncCompId,AsyncLoopId,AsyncPercentChangeSamples,AsyncBaselineSharePercent
1,109,0,96.1502497565373,93.56384102820635,156,0,97.29737344547578,99.79523013997355
2,108,4,-0.4590439779212435,3.3906496121682386,155,5,-1.1628736534208461,0.1743884274859153
3,108,5,-30.65870529341771,2.6529467789464865,155,4,4.07098121085595,0.011918678285760638
